time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-01 00:00:00+00:00,89,10,746,58
2023-12-02 00:00:00+00:00,76,12,447,33
2023-12-03 00:00:00+00:00,56,11,527,36
2023-12-04 00:00:00+00:00,76,20,593,80
2023-12-05 00:00:00+00:00,48,16,4690,2087
2023-12-06 00:00:00+00:00,29,15,2778,1118
2023-12-07 00:00:00+00:00,49,21,2828,996
2023-12-08 00:00:00+00:00,45,18,5244,2101
2023-12-09 00:00:00+00:00,30,19,6183,3130
2023-12-10 00:00:00+00:00,63,37,8386,4523
2023-12-11 00:00:00+00:00,128,47,8732,3683
2023-12-12 00:00:00+00:00,77,31,4409,1636
2023-12-13 00:00:00+00:00,104,39,4145,1187
2023-12-14 00:00:00+00:00,65,33,1848,524
2023-12-15 00:00:00+00:00,3,3,88,21
