time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-03 00:00:00+00:00,34,10,897,208
2024-01-04 00:00:00+00:00,141,23,1049,257
2024-01-05 00:00:00+00:00,48,20,757,196
2024-01-06 00:00:00+00:00,13,12,236,121
2024-01-07 00:00:00+00:00,11,10,283,102
2024-01-08 00:00:00+00:00,23,11,495,191
2024-01-09 00:00:00+00:00,66,24,938,214
2024-01-10 00:00:00+00:00,54,27,951,198
2024-01-11 00:00:00+00:00,74,14,950,145
2024-01-12 00:00:00+00:00,47,13,953,143
2024-01-13 00:00:00+00:00,15,10,207,59
2024-01-14 00:00:00+00:00,12,8,330,85
2024-01-15 00:00:00+00:00,48,18,916,175
2024-01-16 00:00:00+00:00,50,18,756,145
