url_path,views_total,views_unique
/SuperDuperDB/superduperdb,2455,1327
/SuperDuperDB/superduperdb/blob/main/README_zh.md,885,245
/SuperDuperDB/superduperdb/pulls,343,34
/SuperDuperDB/superduperdb/issues,305,84
/SuperDuperDB/superduperdb/tree/main/examples,213,48
/SuperDuperDB/superduperdb/tree/main/superduperdb,188,37
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,135,29
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs.ipynb,102,23
/SuperDuperDB/superduperdb/blob/main/examples/sql-example.ipynb,85,26
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs_opensource.ipynb,79,18
