url_path,views_total,views_unique
/SuperDuperDB/superduperdb,23733,15203
/SuperDuperDB/superduperdb/blob/main/README_zh.md,2326,805
/SuperDuperDB/superduperdb/issues,1168,361
/SuperDuperDB/superduperdb/tree/main/superduperdb,1144,284
/SuperDuperDB/superduperdb/tree/main/examples,801,220
/SuperDuperDB/superduperdb/fork,687,322
/SuperDuperDB/superduperdb/pulls,614,102
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,413,137
/SuperDuperDB/superduperdb/blob/main/docs/hr/static/img/superduperdb.gif,363,173
/SuperDuperDB/superduperdb/tree/main/superduperdb/backends,335,106
