url_path,views_total,views_unique
/SuperDuperDB/superduperdb,2040,985
/SuperDuperDB/superduperdb/blob/main/README_zh.md,666,148
/SuperDuperDB/superduperdb/issues,300,64
/SuperDuperDB/superduperdb/tree/main/examples,254,54
/SuperDuperDB/superduperdb/pulls,237,25
/SuperDuperDB/superduperdb/tree/main/superduperdb,232,46
/SuperDuperDB/superduperdb/stargazers,169,8
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,133,30
/SuperDuperDB/superduperdb/commits/main,126,12
/SuperDuperDB/superduperdb/tree/main,94,43
