url_path,views_total,views_unique
/SuperDuperDB/superduperdb,24751,15826
/SuperDuperDB/superduperdb/blob/main/README_zh.md,2282,792
/SuperDuperDB/superduperdb/issues,1232,380
/SuperDuperDB/superduperdb/tree/main/superduperdb,1227,298
/SuperDuperDB/superduperdb/tree/main/examples,819,223
/SuperDuperDB/superduperdb/fork,758,357
/SuperDuperDB/superduperdb/pulls,644,99
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,423,141
/SuperDuperDB/superduperdb/blob/main/docs/hr/static/img/superduperdb.gif,374,178
/SuperDuperDB/superduperdb/stargazers,369,75
