referrer,views_total,views_unique
github.com,3853,1341
news.ycombinator.com,1149,798
superduperdb.com,928,303
Google,634,250
bleqq.r.a.d.sendibm1.com,370,268
producthunt.com,335,224
linkedin.com,248,152
t.co,154,98
com.google.android.gm,109,58
mail.google.com,104,81
