url_path,views_total,views_unique
/SuperDuperDB/superduperdb,23745,15658
/SuperDuperDB/superduperdb/issues,1201,319
/SuperDuperDB/superduperdb/tree/main/superduperdb,1055,273
/SuperDuperDB/superduperdb/blob/main/README_zh.md,928,355
/SuperDuperDB/superduperdb/fork,719,340
/SuperDuperDB/superduperdb/pulls,719,76
/SuperDuperDB/superduperdb/tree/main/examples,597,167
/SuperDuperDB/superduperdb/stargazers,397,80
/SuperDuperDB/superduperdb/blob/main/docs/hr/static/img/superduperdb.gif,348,167
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,334,115
