time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-08 00:00:00+00:00,19,7,429,176
2024-01-09 00:00:00+00:00,66,24,938,214
2024-01-10 00:00:00+00:00,54,27,951,198
2024-01-11 00:00:00+00:00,74,14,950,145
2024-01-12 00:00:00+00:00,47,13,953,143
2024-01-13 00:00:00+00:00,15,10,207,59
2024-01-14 00:00:00+00:00,12,8,330,85
2024-01-15 00:00:00+00:00,48,18,916,175
2024-01-16 00:00:00+00:00,50,18,756,145
2024-01-17 00:00:00+00:00,53,26,637,127
2024-01-18 00:00:00+00:00,46,17,546,111
2024-01-19 00:00:00+00:00,55,22,900,116
2024-01-20 00:00:00+00:00,15,12,114,64
2024-01-21 00:00:00+00:00,14,10,359,64
