url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1807,881
/SuperDuperDB/superduperdb/blob/main/README_zh.md,626,145
/SuperDuperDB/superduperdb/issues,287,61
/SuperDuperDB/superduperdb/tree/main/superduperdb,243,43
/SuperDuperDB/superduperdb/tree/main/examples,208,43
/SuperDuperDB/superduperdb/pulls,191,22
/SuperDuperDB/superduperdb/stargazers,167,7
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,130,28
/SuperDuperDB/superduperdb/blob/main/examples/sql-example.ipynb,86,25
/SuperDuperDB/superduperdb/tree/main,77,38
