time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-10 00:00:00+00:00,53,28,7686,4282
2023-12-11 00:00:00+00:00,128,47,8732,3683
2023-12-12 00:00:00+00:00,77,31,4409,1636
2023-12-13 00:00:00+00:00,104,39,4145,1187
2023-12-14 00:00:00+00:00,65,33,1848,524
2023-12-15 00:00:00+00:00,69,26,1677,431
2023-12-16 00:00:00+00:00,54,25,936,311
2023-12-17 00:00:00+00:00,46,17,761,255
2023-12-18 00:00:00+00:00,26,19,1203,403
2023-12-19 00:00:00+00:00,30,17,1057,338
2023-12-20 00:00:00+00:00,29,17,2103,267
2023-12-21 00:00:00+00:00,46,17,1594,258
2023-12-22 00:00:00+00:00,40,20,784,209
2023-12-23 00:00:00+00:00,9,9,356,135
2023-12-24 00:00:00+00:00,2,2,9,6
