url_path,views_total,views_unique
/SuperDuperDB/superduperdb,27800,17801
/SuperDuperDB/superduperdb/blob/main/README_zh.md,1956,700
/SuperDuperDB/superduperdb/issues,1383,398
/SuperDuperDB/superduperdb/tree/main/superduperdb,1320,332
/SuperDuperDB/superduperdb/tree/main/examples,794,222
/SuperDuperDB/superduperdb/fork,782,365
/SuperDuperDB/superduperdb/pulls,739,94
/SuperDuperDB/superduperdb/stargazers,492,91
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,407,139
/SuperDuperDB/superduperdb/blob/main/docs/hr/static/img/superduperdb.gif,395,189
