referrer,views_total,views_unique
github.com,1581,477
news.ycombinator.com,1140,795
superduperdb.com,842,264
Google,470,165
bleqq.r.a.d.sendibm1.com,360,263
producthunt.com,329,221
linkedin.com,205,127
t.co,98,74
l.facebook.com,62,22
mail.google.com,53,41
