url_path,views_total,views_unique
/SuperDuperDB/superduperdb,17963,11448
/SuperDuperDB/superduperdb/blob/main/README_zh.md,2038,656
/SuperDuperDB/superduperdb/issues,1024,303
/SuperDuperDB/superduperdb/tree/main/superduperdb,938,213
/SuperDuperDB/superduperdb/tree/main/examples,713,190
/SuperDuperDB/superduperdb/pulls,533,92
/SuperDuperDB/superduperdb/fork,408,190
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,385,124
/SuperDuperDB/superduperdb/tree/main/superduperdb/backends,291,89
/SuperDuperDB/superduperdb/tree/main/docs,274,63
