time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,42,8,934,137
2024-01-13 00:00:00+00:00,15,10,207,59
2024-01-14 00:00:00+00:00,12,8,330,85
2024-01-15 00:00:00+00:00,48,18,916,175
2024-01-16 00:00:00+00:00,50,18,756,145
2024-01-17 00:00:00+00:00,53,26,637,127
2024-01-18 00:00:00+00:00,46,17,546,111
2024-01-19 00:00:00+00:00,55,22,900,116
2024-01-20 00:00:00+00:00,15,12,114,64
2024-01-21 00:00:00+00:00,14,10,359,64
2024-01-22 00:00:00+00:00,22,15,702,117
2024-01-23 00:00:00+00:00,32,15,867,128
2024-01-24 00:00:00+00:00,35,15,1067,124
2024-01-25 00:00:00+00:00,39,14,607,133
